message,category,label,urgency,financial_request,personal_info_request,suspicious_link,threat_language,reward_promise,source,sender_type
"Hi mom, I dropped my phone in the sink and it's completely dead. This is my new temporary number. Can you please text me on WhatsApp when you see this?",Child Game Scam,1,No,No,No,No,No,No,SMS,Individual
"Hey Mum, I urgently need to pay a bill today but my new bank app isn't set up yet on this replacement phone. Can you transfer $450 for me? I'll repay you tomorrow morning!",Child Game Scam,1,Yes,Yes,No,No,No,No,WhatsApp,Individual
Hi dad! Lost my phone at college today so using a friend's phone. I need $180 for textbook fees right away or I can't enter class. Transfer to this card: 4012-3321-9981,Child Game Scam,1,Yes,Yes,No,No,Yes,No,SMS,Individual
Congratulations! Your child has been selected for our national youth modeling program! Claim your kid's audition spot now by filling out the form at http://kid-stars-auditions.com,Child Game Scam,1,No,No,Yes,Yes,No,Yes,Email,Company
"Hey Mum, my phone got stolen on the train. I'm using a temporary phone. Can you send $600 to my roomate's account? I have an urgent tuition fee due before 5pm.",Child Game Scam,1,Yes,Yes,No,No,Yes,No,WhatsApp,Individual
URGENT SCHOOL NOTICE: Outstanding balance of $120 found for your child's field trip. Pay immediately via http://school-fee-portal-pay.com to avoid exclusion.,Child Game Scam,1,Yes,Yes,No,Yes,Yes,No,SMS,Company
"Hey dad, I'm stuck at the station and my card got declined. Can you pay this $35 train ticket link for me real quick? http://transit-ticket-pass.com/pay",Child Game Scam,1,Yes,Yes,No,Yes,No,No,SMS,Individual
Your child's school portal login credentials need to be re-verified due to system update. Update student profile and parent identity details at http://school-parent-verify.org,Child Game Scam,1,No,No,Yes,Yes,No,No,Email,Company
"Hi mom, it's me. My phone broke. Please don't call this number just text me back here. I really need help with rent money today.",Child Game Scam,1,Yes,Yes,No,No,No,No,SMS,Individual
"Get 10,000 free Roblox Robux for your kid! Complete this quick 2 minute survey and enter your account password at http://free-robux-kids-reward.net",Child Game Scam,1,No,No,Yes,Yes,No,Yes,WhatsApp,Unknown
"Hey mum, lost my wallet and phone today... borrowed a stranger's phone to msg u. Could you send $300 to my paypal? Here's the link http://paypal-me-transfer-request.com",Child Game Scam,1,Yes,Yes,No,Yes,No,No,WhatsApp,Individual
"Dear Parent, your child was involved in a minor accident. Medical fees of $850 required immediately before treatment. Call emergency coordinator at 555-0199",Child Game Scam,1,Yes,Yes,No,No,Yes,No,SMS,Unknown
Hi dad! I changed my number. Please save this as my new contact and delete the old one. Btw can you transfer $150 for my groceries? my bank card is locked.,Child Game Scam,1,No,Yes,No,No,No,No,WhatsApp,Individual
"Hi Parents, win a $1,000 scholarship for your child's education! Register your child's details and full identity proof at http://scholars-grant-apply.com",Child Game Scam,1,No,No,Yes,Yes,No,Yes,Email,Unknown
"Hey mom, I lost my phone at the mall. Text me on this number now! Also can u pay my laptop repair bill of $210? Link is http://tech-repair-checkout.com",Child Game Scam,1,Yes,Yes,No,Yes,No,No,SMS,Individual
Urgent: Your child's daycare tuition is past due by 3 days. Late fees will apply at midnight. Clear balance now: http://daycare-billing-pay.com,Child Game Scam,1,Yes,Yes,No,Yes,Yes,No,Email,Company
"Hey Dad, my phone fell in water during lab practice. Borrowing my friend's device. Can you send $500 for my rent payment today? I will explain everything later.",Child Game Scam,1,Yes,Yes,No,No,No,No,WhatsApp,Individual
"Dear Parent, your son/daughter qualifies for a free Disney audition. Upload their photo and parent ID card to complete registration: http://disney-talent-scout.com",Child Game Scam,1,No,No,Yes,Yes,No,Yes,Email,Company
"Hi mum, I need to pay for a medical prescription right now but my bank app is blocked on my new phone. Can u pay $95 to this zelle number?",Child Game Scam,1,Yes,Yes,No,No,No,No,WhatsApp,Individual
Hi Mum! Broke my phone glass so cant receive calls. Can you transfer $400 to my account? I need to pay my landlord today otherwise he will kick me out 😭,Child Game Scam,1,Yes,Yes,No,No,Yes,No,WhatsApp,Individual
Child Care Subsidy Alert: Your monthly child benefit refund of $350 is ready. Verify your bank account and national ID details at http://child-subsidy-gov.org,Child Game Scam,1,No,Yes,Yes,Yes,No,Yes,Email,Government
"Hey dad, new number! Lost my phone yesterday. Could you pay this invoice of $280 for my uni project materials? Link: http://uni-store-pay.com",Child Game Scam,1,No,Yes,No,Yes,No,No,SMS,Individual
"Hey mom, I got into a car bump and need $500 right now to settle with the driver before police comes. Please send to my friend's Venmo!!",Child Game Scam,1,Yes,Yes,No,No,Yes,No,WhatsApp,Individual
"Dear Customer, your child's online gaming subscription charged $299.99 today. To cancel this charge immediately, call customer support at 1-800-555-0144",Child Game Scam,1,Yes,Yes,No,No,No,No,Email,Company
"Hi mom, I lost my phone at the gym. Using a temp device. Can you text me on WhatsApp here? I also need $120 for my phone insurance deductible.",Child Game Scam,1,No,Yes,No,No,No,No,SMS,Individual
Hey Dad! Free Fortnite V-Bucks giveaway for students! Claim 5000 V-Bucks for your kid now by logging in at http://fortnite-vbucks-claim.net,Child Game Scam,1,No,No,Yes,Yes,No,Yes,WhatsApp,Unknown
"Hi Mum, I lost my phone on campus. Can you please pay my dorm wifi bill of $60? If I don't pay in 1 hour they will disconnect my internet during finals week!",Child Game Scam,1,Yes,Yes,No,No,Yes,No,WhatsApp,Individual
Notice: Your child's vaccination record needs immediate updating. Submit birth certificate and parent passport copy at http://health-child-records.gov.org,Child Game Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Government
Hi mom! It's me. My phone got stolen at the station. Plz reply to this text ASAP. I need emergency cash for a hostel room tonight!,Child Game Scam,1,Yes,Yes,No,No,No,No,SMS,Individual
"Hey dad, I lost my phone so texting from my classmate's number. Can you send $220 to this cashapp tag $AlexPay99 so I can buy a cheap temporary phone?",Child Game Scam,1,No,Yes,No,No,No,No,WhatsApp,Individual
Parent Warning: Unregistered access detected on your child's school learning portal. Update your password and security pin at http://student-portal-sec.com,Child Game Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Company
Hi Mum! My phone battery swelled up so I got a new phone and number. Can you please send $350 for my groceries this week? My new card hasn't arrived yet.,Child Game Scam,1,No,Yes,No,No,No,No,WhatsApp,Individual
Your kid has won a $250 LEGO gift set! Claim your prize now by providing your shipping address and $2 delivery fee at http://lego-kids-rewards.com,Child Game Scam,1,No,Yes,Yes,Yes,No,Yes,Email,Unknown
"Hi dad, dropped my phone in water. Can you send me $180 via this link? Need to pay my electricity bill before 6 PM or they cut power. http://pay-fast-util.com",Child Game Scam,1,Yes,Yes,No,Yes,Yes,No,SMS,Individual
Hey mom! I lost my phone and wallet at the airport. I'm using a friendly stranger's phone. Can you send $400 for a flight ticket home?,Child Game Scam,1,Yes,Yes,No,No,No,No,WhatsApp,Individual
"Emergency Notification: Your child has been admitted to City Hospital. Immediate deposit of $1,000 required. Pay via online portal: http://hospital-care-pay.com",Child Game Scam,1,Yes,Yes,No,Yes,Yes,No,SMS,Unknown
"Hi Mum, new number! My old phone was stolen. Can you please pay my phone bill of $85 so I don't lose my line? Pay here: http://mobile-bill-pay-now.com",Child Game Scam,1,Yes,Yes,No,Yes,Yes,No,SMS,Individual
"Hey Dad, my phone broke during soccer practice. Borrowing coach's phone. Need $150 for urgent repair. Transfer to account 9981-2234-1100",Child Game Scam,1,Yes,Yes,No,No,No,No,SMS,Individual
"Dear Parent, register your child for the National Math Olympiad and win a $5,000 college fund! Enter student details at http://math-olympiad-grant.org",Child Game Scam,1,No,No,Yes,Yes,No,Yes,Email,Unknown
"Hi mom, I lost my phone while traveling. Text me here. I desperately need $250 to pay my hotel bill before checkout at 11 AM!",Child Game Scam,1,Yes,Yes,No,No,Yes,No,WhatsApp,Individual
"Hey Mum, I got a new phone number! Please delete my old contact info. Can you send $190 to my friend's account for my library fee fine?",Child Game Scam,1,No,Yes,No,No,No,No,WhatsApp,Individual
Urgent: Your child's school bus monthly subscription is overdue. Pay $75 immediately to prevent suspension of transport services at http://school-bus-pay.com,Child Game Scam,1,Yes,Yes,No,Yes,Yes,No,SMS,Company
"Hi dad, I lost my phone at the cafe. Using a temp device. Please text me back here. Also can you send $300 for my exam registration fee today?",Child Game Scam,1,Yes,Yes,No,No,No,No,SMS,Individual
Congratulations! Your child's artwork has been shortlisted for the International Art Exhibition. Pay $50 entry fee at http://kids-art-contest-pay.com,Child Game Scam,1,No,Yes,No,Yes,No,Yes,Email,Company
"Hey mum, broke my phone screen and can't receive calls. Please transfer $220 for my train ticket back home this weekend!",Child Game Scam,1,No,Yes,No,No,No,No,WhatsApp,Individual
Hi Mom! I lost my phone during my commute. Can you send $130 via Zelle so I can pay my credit card payment before midnight?,Child Game Scam,1,Yes,Yes,No,No,No,No,SMS,Individual
Alert: Unpaid school cafeteria fees detected for your child ($42.50). Pay now to prevent meal service restriction: http://school-meal-billing.com,Child Game Scam,1,Yes,Yes,No,Yes,Yes,No,Email,Company
"Hi dad, new number! My old phone got stolen. Can you please pay this invoice of $310 for my laptop repair? Link: http://repair-center-invoice.com",Child Game Scam,1,No,Yes,No,Yes,No,No,SMS,Individual
"Dear Parent, your child qualifies for a free Chromebook provided by the state education board. Claim device by verifying home address at http://state-edu-device.gov.org",Child Game Scam,1,No,No,Yes,Yes,No,Yes,Email,Government
Hey Mum! Dropped my phone in the pool so using a friend's phone. Can you send $270 to my account for my car insurance installment today?,Child Game Scam,1,Yes,Yes,No,No,No,No,WhatsApp,Individual
URGENT: Legal notice issued by Cyber Crime Branch. A parcel containing illegal drugs was linked to your phone number. Click http://digital-court-summons.com to join digital custody immediately.,Digital Arrest Scam,1,Yes,No,Yes,Yes,Yes,No,SMS,Government
"Sir, this is Inspector Sharma from Mumbai Police Crime Branch. You are placed under digital arrest for money laundering. Do not disconnect this WhatsApp video call or police will arrive at your home.",Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
FINAL WARNING: Non-bailable warrant issued against your name under section 120B. Connect to our Skype surveillance portal http://cbi-virtual-interrogation.org before 5 PM to verify your identity.,Digital Arrest Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Government
Notice from Narcotics Control Bureau: An illegal package shipped from Taiwan with your passport details has been intercepted. You are under immediate digital surveillance. Reply with your details to comply.,Digital Arrest Scam,1,Yes,No,Yes,No,Yes,No,SMS,Government
You are under virtual custody for suspect involvement in international money laundering. Submit your identity details and bank statement to clear your name: http://cyber-investigation-portal.in,Digital Arrest Scam,1,Yes,Yes,Yes,Yes,Yes,No,Email,Government
"Hello, CBI investigation desk. Your SIM card is linked to 15 illegal financial transactions. Stay on video standby. If you try to log off or contact anyone, arrest team will be dispatched.",Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
Cyber Enforcement Order: A legal case has been filed against you. Download the secure police monitoring app at http://police-surveillance-app.com to remain under digital arrest during inquiry.,Digital Arrest Scam,1,Yes,No,No,Yes,Yes,No,SMS,Government
"Sir, your name is implicated in a multi-crore hawala racket. Transfer ₹1,500,000 to the official court verification escrow account to avoid immediate physical arrest.",Digital Arrest Scam,1,Yes,Yes,No,No,Yes,No,WhatsApp,Government
Notice of Arrest Warrant: Issued by Enforcement Directorate. You must present yourself on live WhatsApp video for formal digital detention proceedings. Do not close this chat.,Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
ALERT: Customs department intercepted a package with 5 fake passports registered under your name. Access your digital arrest file now at http://customs-legal-notice.net,Digital Arrest Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Government
"This is Officer Verma from Crime Branch. You are currently placed under home virtual arrest. To verify your assets and avoid jail time, share your bank account number and net banking password.",Digital Arrest Scam,1,Yes,Yes,Yes,No,Yes,No,WhatsApp,Government
Official Notice: Your mobile connection will be blocked in 2 hours by TRAI due to involvement in terror funding. Tap http://trai-legal-hearing.com to attend digital court hearing.,Digital Arrest Scam,1,Yes,No,No,Yes,Yes,No,SMS,Government
"You have been flagged for downloading restricted illicit content online. Pay refundable security clearance deposit of ₹45,000 to Supreme Court escrow within 30 mins to halt police arrest.",Digital Arrest Scam,1,Yes,Yes,No,No,Yes,No,Email,Government
Urgent: Interpol Red Notice generated against your identity. Stay online on video call for digital interrogation. Any movement without permission will be treated as evasion.,Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
Digital Warrant Issued: Cyber Cell Kolkata has put you under digital house arrest. Submit your identification card and live location immediately.,Digital Arrest Scam,1,Yes,No,Yes,No,Yes,No,SMS,Government
