message,category,label,urgency,financial_request,personal_info_request,suspicious_link,threat_language,reward_promise,source,sender_type
URGENT: Legal notice issued by Cyber Crime Branch. A parcel containing illegal drugs was linked to your phone number. Click http://digital-court-summons.com to join digital custody immediately.,Digital Arrest Scam,1,Yes,No,Yes,Yes,Yes,No,SMS,Government
"Sir, this is Inspector Sharma from Mumbai Police Crime Branch. You are placed under digital arrest for money laundering. Do not disconnect this WhatsApp video call or police will arrive at your home.",Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
FINAL WARNING: Non-bailable warrant issued against your name under section 120B. Connect to our Skype surveillance portal http://cbi-virtual-interrogation.org before 5 PM to verify your identity.,Digital Arrest Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Government
Notice from Narcotics Control Bureau: An illegal package shipped from Taiwan with your passport details has been intercepted. You are under immediate digital surveillance. Reply with your details to comply.,Digital Arrest Scam,1,Yes,No,Yes,No,Yes,No,SMS,Government
You are under virtual custody for suspect involvement in international money laundering. Submit your identity details and bank statement to clear your name: http://cyber-investigation-portal.in,Digital Arrest Scam,1,Yes,Yes,Yes,Yes,Yes,No,Email,Government
"Hello, CBI investigation desk. Your SIM card is linked to 15 illegal financial transactions. Stay on video standby. If you try to log off or contact anyone, arrest team will be dispatched.",Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
Cyber Enforcement Order: A legal case has been filed against you. Download the secure police monitoring app at http://police-surveillance-app.com to remain under digital arrest during inquiry.,Digital Arrest Scam,1,Yes,No,No,Yes,Yes,No,SMS,Government
"Sir, your name is implicated in a multi-crore hawala racket. Transfer ₹1,500,000 to the official court verification escrow account to avoid immediate physical arrest.",Digital Arrest Scam,1,Yes,Yes,No,No,Yes,No,WhatsApp,Government
Notice of Arrest Warrant: Issued by Enforcement Directorate. You must present yourself on live WhatsApp video for formal digital detention proceedings. Do not close this chat.,Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
ALERT: Customs department intercepted a package with 5 fake passports registered under your name. Access your digital arrest file now at http://customs-legal-notice.net,Digital Arrest Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Government
"This is Officer Verma from Crime Branch. You are currently placed under home virtual arrest. To verify your assets and avoid jail time, share your bank account number and net banking password.",Digital Arrest Scam,1,Yes,Yes,Yes,No,Yes,No,WhatsApp,Government
Official Notice: Your mobile connection will be blocked in 2 hours by TRAI due to involvement in terror funding. Tap http://trai-legal-hearing.com to attend digital court hearing.,Digital Arrest Scam,1,Yes,No,No,Yes,Yes,No,SMS,Government
"You have been flagged for downloading restricted illicit content online. Pay refundable security clearance deposit of ₹45,000 to Supreme Court escrow within 30 mins to halt police arrest.",Digital Arrest Scam,1,Yes,Yes,No,No,Yes,No,Email,Government
Urgent: Interpol Red Notice generated against your identity. Stay online on video call for digital interrogation. Any movement without permission will be treated as evasion.,Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
Digital Warrant Issued: Cyber Cell Kolkata has put you under digital house arrest. Submit your identification card and live location immediately.,Digital Arrest Scam,1,Yes,No,Yes,No,Yes,No,SMS,Government
"Dear Citizen, your bank account is frozen under Money Laundering Act. To verify legitimate income during digital detention, transfer all liquid balance to RBI verification account: http://rbi-escrow-verify.org",Digital Arrest Scam,1,Yes,Yes,No,Yes,Yes,No,Email,Government
"Sir, do not disconnect this call. You are being recorded by Federal Investigation Bureau. Keep your camera ON at all times during this digital custody process.",Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
Notice: Supreme Court E-Committee summons you for virtual trial. Download official digital court portal to attend: http://ecourt-virtual-hearing-portal.com,Digital Arrest Scam,1,Yes,No,No,Yes,Yes,No,Email,Government
Attention: FedEx package containing 200g MDMA intercepted at Mumbai airport billed to your address. Connect to digital police station on WhatsApp immediately.,Digital Arrest Scam,1,Yes,No,No,No,Yes,No,SMS,Company
Warning: You are under continuous video monitoring by Cyber Police. Disconnecting or making external phone calls will result in immediate raid by local police.,Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
Court Order: You are accused in Case #99102 (Human Trafficking). You must remain under digital arrest until identity clearance. Submit copy of identity card for verification.,Digital Arrest Scam,1,Yes,No,Yes,No,Yes,No,Email,Government
"CBI Cyber Unit: Your phone IP address was logged in a national security breach. Pay ₹80,000 penalty fee to avoid immediate police custody at your doorstep.",Digital Arrest Scam,1,Yes,Yes,No,No,Yes,No,SMS,Government
"Sir, police team is waiting outside your city sector. If you want to settle this digital arrest case quietly, send ₹200,000 security bond right now.",Digital Arrest Scam,1,Yes,Yes,No,No,Yes,No,WhatsApp,Government
Emergency Notice: High Court has ordered your virtual detention. Click link to download official digital bail application form: http://highcourt-bail-form.com,Digital Arrest Scam,1,Yes,No,No,Yes,Yes,No,SMS,Government
This is Head Police Inspector Deshmukh. You are under digital interrogation for credit card fraud. State your credit card CVV and PIN to clear your name from suspect list.,Digital Arrest Scam,1,Yes,Yes,Yes,No,Yes,No,WhatsApp,Government
URGENT LEGAL ACTION: Your identity details were used to register 12 fake SIMs used in extortion. Open http://cyber-identity-clearance.in to join virtual investigation room.,Digital Arrest Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Government
Notice from Financial Intelligence Unit: All your assets are frozen under digital house arrest protocol. Share OTP sent to your phone to verify account ownership.,Digital Arrest Scam,1,Yes,No,Yes,No,Yes,No,SMS,Government
Warning: Digital Arrest procedure initiated by Anti-Terrorism Squad. Remain in your room alone with video camera active until interrogation completes.,Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
Your courier parcel #88219 has been seized by customs for illegal contraband. Pay legal clearance fee at http://customs-clearance-fine.com to stop digital arrest warrant.,Digital Arrest Scam,1,Yes,Yes,No,Yes,Yes,No,SMS,Company
"Dear Customer, Bank account suspended by Cyber Crime Cell order. To lift digital arrest on funds, submit netbanking login credentials at http://bank-freeze-clearance.com",Digital Arrest Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Bank
"Sir, NCB officer here. A contraband shipment with your name was captured. Stay on this WhatsApp call to record your statement or face instant arrest squad.",Digital Arrest Scam,1,Yes,No,No,No,Yes,No,WhatsApp,Government
Digital Summons: Failure to join live virtual interrogation within 15 minutes will result in immediate publication of your arrest warrant on national news.,Digital Arrest Scam,1,Yes,No,No,No,Yes,No,SMS,Government
Final Order: You are placed in virtual custody for tax evasion. Deposit temporary clearance bond to RBI nodal bank account immediately.,Digital Arrest Scam,1,Yes,Yes,No,No,Yes,No,Email,Government
Cyber Cell Notice: Suspicious illegal activity detected from your wifi router. Click http://cyber-wifi-investigation.net to register for online interrogation.,Digital Arrest Scam,1,No,No,No,Yes,Yes,No,SMS,Government
