message,category,label,urgency,financial_request,personal_info_request,suspicious_link,threat_language,reward_promise,source,sender_type
"CONGRATS! Your phone number won $750,000 in the 2026 International Mobile Mega Millions Promo! Claim your check now at http://bit.ly/claim-mega-2026",Lottery Reward Scam,1,Yes,No,No,Yes,No,Yes,SMS,Company
"Dear Lucky Winner, your email ID has selected for $1,000,000 cash prize in UK National Lottery. Contact agent Mr. David via email to process payment.",Lottery Reward Scam,1,No,No,No,No,No,Yes,Email,Unknown
"URGENT NOTICE: You have 24 hours left to claim your $50,000 Amazon Sweepstakes prize or it will be forfeited to next winner! Click https://amzn-prize-claim.com/win",Lottery Reward Scam,1,Yes,No,No,Yes,Yes,Yes,SMS,Company
"Congratulations! You won the RBI Diwali Lucky Draw of Rs. 25,00,000. To release funds, please send your bank account number and OTP sent to your phone.",Lottery Reward Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Government
"Hey friend! U won 10,000 USD in our customer appreciation lottery. Reply with your full name, address, and credit card CVV to clear processing fees.",Lottery Reward Scam,1,No,Yes,Yes,No,No,Yes,SMS,Individual
"OFFICIAL NOTIFICATION: You are selected for the $5,000,000 Dubai Duty Free Raffle. Fill form at http://dubaidutyfree-rewards.org to receive wire transfer.",Lottery Reward Scam,1,No,No,No,Yes,No,Yes,Email,Company
Yo! u won $500 gift voucher from Walmart lucky draw 🎉 claim here before midnight http://walmart-win-gift.xyz,Lottery Reward Scam,1,Yes,No,No,Yes,No,Yes,SMS,Unknown
"Dear Customer, SBI Cash Bonanza selected your SIM for 50 Lakh rupees. Call official manager Sharma Ji immediately at +919876543210 to collect.",Lottery Reward Scam,1,Yes,No,No,No,No,Yes,WhatsApp,Bank
"Final Warning: Your unclaimed lottery prize worth $250,000 will expire today at 5 PM! Pay $100 processing tax via Apple Gift Card now.",Lottery Reward Scam,1,Yes,Yes,No,No,Yes,Yes,Email,Company
"Congratulations from WhatsApp Lottery Team! You won £500,000. Send your ID proof and bank account details to claim your money today.",Lottery Reward Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Company
"You have been awarded 1,000,000 EUR in EuroMillions Foundation. Reply YES to get instructions.",Lottery Reward Scam,1,No,No,No,No,No,Yes,SMS,Unknown
"GREETINGS! You won $10,000 Cash Prize in Toyota Annual Giveaway 🚗💨 Click link to confirm identity: https://toyota-giveaway-claim.net",Lottery Reward Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"Alert: Your jackpot winning of $2,000,000 is pending verification. Please provide your online banking password and SSN to complete KYC process.",Lottery Reward Scam,1,Yes,No,Yes,No,No,Yes,Email,Unknown
"Congrats!! u r selected for Coca-Cola Summer Jackpot 🎊 Win $50,000 instant. Register account here http://coca-cola-promo.site/win",Lottery Reward Scam,1,No,No,No,Yes,No,Yes,WhatsApp,Company
Your Mobile No won Rs 10 Lakhs in KBC Lucky Draw 2026. Send copy of your Aadhaar card and PAN card to WhatsApp number +918889991122 to verify.,Lottery Reward Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Company
"Claim your $1,000 PayPal Cash Reward now! Limited slots available for first 50 respondents. Visit http://paypal-rewards-claim.info",Lottery Reward Scam,1,Yes,No,No,Yes,No,Yes,SMS,Company
"Dear Beneficiary, UN Grant Lottery program has approved $500,000 for you. To proceed, wire $250 clearance fee to our representative in Ghana.",Lottery Reward Scam,1,No,Yes,No,No,No,Yes,Email,Government
You won brand new iPhone 16 Pro Max in Apple Annual Raffle! 📱 Pay shipping charge of $9.99 at http://apple-claim-store.tech to dispatch today.,Lottery Reward Scam,1,No,Yes,No,Yes,No,Yes,SMS,Company
"URGENT: Prize money $1,500,000 will be returned to treasury if not claimed within 2 hours. Click http://claim-lottery-now.com immediately!!",Lottery Reward Scam,1,Yes,No,No,Yes,Yes,Yes,SMS,Unknown
"Congratulations! You won 2nd prize in Shell Gas Scratch & Win. To receive $25,000 direct deposit, share your bank account details and debit card PIN.",Lottery Reward Scam,1,No,No,Yes,No,No,Yes,Email,Company
"Sir/Madam, your phone number won $850,000 in Chevrolet Mega Draw. Kindly reply with your full name, age, occupation and mobile number.",Lottery Reward Scam,1,No,No,Yes,No,No,Yes,Email,Company
"Win notification: You have 1 unread reward of $5,000 from Target Sweepstakes. Claim here: http://target-rewards-online.club",Lottery Reward Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"Hurry!! Last chance to collect your $100,000 lottery cash prize! Deposit $50 registration fee via CashApp to tag $LotteryWinner2026.",Lottery Reward Scam,1,Yes,Yes,No,No,No,Yes,WhatsApp,Individual
"Your lucky number 7741 won £250,000 in UK Postcode Lottery. Text WIN to 88442 to get your check.",Lottery Reward Scam,1,No,No,No,No,No,Yes,SMS,Unknown
"Dear Customer, HDFC Bank Cash Draw awarded you Rs 5,00,000. Send OTP received on your mobile to transfer funds to your account immediately.",Lottery Reward Scam,1,Yes,No,Yes,No,No,Yes,SMS,Bank
"Woohoo! You are today's random winner of $2,500 Visa Gift Card 🎉🎁 Click http://visa-gift-claim.xyz to grab yours!",Lottery Reward Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"ATTENTION: You won $4,000,000 in International Email Lottery. To receive payment via DHL delivery, reply with home address and passport copy.",Lottery Reward Scam,1,No,No,Yes,No,No,Yes,Email,Unknown
"You won! McDonald's Monopoly $10,000 cash reward is waiting for you. Verify account at http://mcdonalds-monopoly-win.org",Lottery Reward Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"WARNING: Failure to pay $150 legal clearance tax within 12 hours will cancel your $500,000 Powerball prize! Pay via Crypto now.",Lottery Reward Scam,1,Yes,Yes,No,No,Yes,Yes,Email,Unknown
"Hello! I am agent Sarah from Publishers Clearing House. You won $1,000,000 plus a brand new car! Call me now at +1-800-555-0199.",Lottery Reward Scam,1,No,No,No,No,No,Yes,WhatsApp,Individual
"Congrats, your SIM was chosen in Jio Dhan Dhana Dhan offer for Rs 25 Lakh. Fill details & pay Rs 2500 processing fee: http://jio-dhan-draw.com",Lottery Reward Scam,1,No,Yes,Yes,Yes,No,Yes,WhatsApp,Company
"Your ticket #99281 won $100,000 in Spanish El Gordo Lottery! Contact claim desk at claims@elgordo-official-agent.net",Lottery Reward Scam,1,No,No,No,No,No,Yes,Email,Unknown
"FINAL NOTICE: Claim your $50,000 eBay Holiday Giveaway prize before midnight or funds will be permanently revoked!",Lottery Reward Scam,1,Yes,No,No,No,Yes,Yes,Email,Company
"You have won $75,000 in Samsung Global Tech Draw. Please send your mother's maiden name and bank credit card number to verify identity.",Lottery Reward Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Company
Great news! You won $300 Starbucks gift card. Click link to redeem instant voucher http://starbucks-free-card.site,Lottery Reward Scam,1,No,No,No,Yes,No,Yes,SMS,Company
IMPORTANT: Federal Lottery Commission selected your address for $1.2M grant. Pay $500 transfer fee via Western Union today.,Lottery Reward Scam,1,Yes,Yes,No,No,No,Yes,Email,Government
"Lucky Winner! U won $20,000 in Crypto Airdrop Jackpot 🚀 Claim token now at http://crypto-jackpot-airdrop.io",Lottery Reward Scam,1,No,No,No,Yes,No,Yes,WhatsApp,Unknown
"You are selected for $100,000 Cash App Sweepstakes! Send $25 verification deposit to $VerifyCashApp to unlock payout.",Lottery Reward Scam,1,No,Yes,No,No,No,Yes,SMS,Company
"Congratulations! Google Anniversary Promo award you $500,000. Send email to google-winner-dept@consultant.com with your full contact info.",Lottery Reward Scam,1,No,No,Yes,No,No,Yes,Email,Company
"Urgent! $10,000 prize in Netflix Subscriber Draw expires in 30 mins! Confirm account password at http://netflix-prize-login.com",Lottery Reward Scam,1,Yes,No,Yes,Yes,Yes,Yes,SMS,Company
"Dear Winner, Commonwealth Foundation approved $350,000 award for you. Reply with bank account number and bank IFSC code for remittance.",Lottery Reward Scam,1,No,No,Yes,No,No,Yes,Email,Government
"You won $1,000,000 in Mega Millions! To process claim, send $200 processing fee to our claims manager via Zelle.",Lottery Reward Scam,1,No,Yes,No,No,No,Yes,SMS,Unknown
