message,category,label,urgency,financial_request,personal_info_request,suspicious_link,threat_language,reward_promise,source,sender_type
Hi! Earn $500 daily guaranteed by investing just $50 in our automated crypto trading bot. Join our VIP Telegram group today: http://crypto-auto-trader-vip.net 🚀,Investment Scam,1,No,Yes,No,Yes,No,Yes,WhatsApp,Unknown
Exclusive Opportunity: Institutional AI stock trading platform opening to retail investors. Minimum deposit $250. 200% return guaranteed within 7 days!,Investment Scam,1,No,Yes,No,No,No,Yes,Email,Company
"Hey bro, I turned $1000 into $15,000 in just 3 days using this arbitrage platform! Deposit now before registration closes tonight: http://arbitrage-profit-pool.com",Investment Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Individual
URGENT: Pre-IPO allocation for SpaceX shares available now! Only 50 slots left for private accredited investors. Reply YES to reserve your allocation.,Investment Scam,1,Yes,Yes,No,No,No,Yes,SMS,Company
Guaranteed 5% daily ROI on Gold & Forex trading! Regulated broker under European authority. Register account and submit your ID & proof of address at http://fx-gold-trader.org,Investment Scam,1,No,Yes,Yes,Yes,No,Yes,Email,Company
"Sir, I am financial advisor Maya from Apex Wealth Management. Double your savings in 30 days with risk-free institutional mutual fund scheme. Contact me on WhatsApp! 📈",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
"SPECIAL OFFER: Join our institutional insider stock tip channel. 99% accuracy on intraday calls! Deposit ₹10,000 for lifetime premium access.",Investment Scam,1,No,Yes,No,No,No,Yes,SMS,Company
Congratulations! Your wallet was selected for 2.5 ETH staking reward bonus. Link your private seed phrase at http://eth-staking-bonus-claim.io to activate 40% APY.,Investment Scam,1,No,Yes,Yes,Yes,No,Yes,Email,Unknown
"Hi dear, my uncle works at Goldman Sachs and gave me insider news on upcoming token listing. Buy $ABC token now on PancakeSwap before 100x pump tonight! 🔥",Investment Scam,1,Yes,Yes,No,No,No,Yes,WhatsApp,Individual
URGENT ALERT: Global Petroleum stock option pool closing in 2 hours! 300% guaranteed profit back on $500 minimum investment. Click http://petro-option-pool.com,Investment Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Company
"Dear Investor, upgrade your trading tier to Gold Level. Submit your netbanking credentials and identity details to unlock leverage ratio 1:1000.",Investment Scam,1,No,No,Yes,No,No,No,Email,Company
Want to make money while you sleep? Our passive income real estate crowdfunding model pays 15% monthly return fixed. Download app now: http://realestate-crowd-returns.net,Investment Scam,1,No,Yes,No,Yes,No,Yes,SMS,Company
"Hello! I am crypto trader Sophia. I manage portfolios for high net worth clients. Give me $300 and I will return $3,000 in 24 hours. No risk guaranteed! 🤑",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
FINAL NOTICE: Zero-risk arbitrage bot subscription expiring today! Re-invest $200 today to retain your 3.5% daily compound interest payout.,Investment Scam,1,Yes,Yes,No,No,No,Yes,Email,Company
"Earn passive income with AI Quantum Trading! Over 50,000 users earning $1,000/day. Start with just $100. Register here: http://quantum-ai-profit-app.com",Investment Scam,1,No,Yes,No,Yes,No,Yes,Email,Company
"Hi, this is Senior Portfolio Analyst David. We have private allocation in pre-launch solar tech project. Minimum investment $1,000. 10x ROI expected at ICO.",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
LIMITED TIME: Double your Bitcoin in 48 hours! Official BTC doubling event hosted by MicroStrategy. Send BTC to address listed at http://btc-doubler-event2026.org 💰,Investment Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Unknown
"Dear Client, your investment account requires mandatory KYC re-verification to release your $12,400 profit withdrawal. Provide your SSN/Identity number and OTP to proceed.",Investment Scam,1,Yes,No,Yes,No,Yes,No,Email,Company
"Hey friend! Join our VIP Forex Signal group. 100% win rate on binary options. Send ₹5,000 join fee to my GPay ID and start earning ₹50,000 per week!",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
Warning: Your crypto cloud mining contract will be terminated within 6 hours due to unpaid maintenance fee. Pay $50 in BTC to keep mining active: http://cloud-miner-renewal.com,Investment Scam,1,Yes,Yes,No,Yes,Yes,No,Email,Company
"Hi ma'am, invest ₹20,000 in our government approved herbal plantation scheme and get ₹5,000 monthly pension lifelong. Reply YES for brochures.",Investment Scam,1,No,Yes,No,No,No,Yes,SMS,Company
Urgent: Last chance to acquire Founder Tier equity tokens in Web3 Gaming project before mainnet launch tomorrow! Swap USDT at http://web3-presale-founder.io,Investment Scam,1,Yes,Yes,No,Yes,No,Yes,Email,Unknown
Hello! Earn 10% daily ROI in decentralized liquidity pool. No withdrawal fees. Verify your wallet seed phrase at http://defi-liquidity-pool-yield.com to start earning.,Investment Scam,1,No,Yes,Yes,Yes,No,Yes,WhatsApp,Unknown
Invest $500 in micro-cap biotech stock $BTEC before news announcement at 4 PM! Wall Street hedge funds accumulating fast! Target $50 (currently $2). 🚀🚀,Investment Scam,1,Yes,Yes,No,No,No,Yes,SMS,Unknown
"Dear Valued Investor, process your $8,500 trading account profit payout by submitting your credit card CVV and billing address to our finance department.",Investment Scam,1,No,No,Yes,No,No,No,Email,Company
"Hi, turn your idle funds into 20% weekly returns with our automated Forex PAMM account. Managed by top 1% professional traders. Minimum deposit $500.",Investment Scam,1,No,Yes,No,No,No,Yes,Email,Company
"ATTENTION: High yield treasury bond scheme offering 18% annual return guaranteed by central reserve. Deposit minimum $1,000 today: http://treasury-yield-bonds.net",Investment Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Government
"Hey, I made $4,000 this week trading index futures using AI script! If u want full setup and trade calls, pay $150 setup fee to my crypto wallet.",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
"Urgent Notice: Unclaimed stock dividend payout of $1,850 detected for your email address. Verify your bank account number & routing details to claim: http://dividend-payout-claim.org",Investment Scam,1,Yes,Yes,Yes,Yes,No,Yes,Email,Company
"Invest ₹10,000 in our peer-to-peer lending platform and receive 2.5% daily cash returns credited straight to your UPI account! Start today!",Investment Scam,1,No,Yes,No,No,No,Yes,SMS,Company
"Exclusive Crypto Airdrop! Eligible users receive 5000 $LUNA tokens ($2,500 value). Claim your airdrop by connecting wallet at http://crypto-airdrop-claim-2026.com",Investment Scam,1,No,No,No,Yes,No,Yes,Email,Unknown
"Hi sir, guaranteed stock market profit tips! Buy bank nifty options today for 5x returns. Pay ₹3,000 advisory fees after profit! Reply START to get tips.",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
URGENT: Pre-market sale for revolutionary AI chipmaker stock ends in 1 hour! Get shares at 80% discount before Nasdaq listing: http://ai-premarket-shares.com,Investment Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Company
"Hello! I am account manager Elena. We are offering 100% deposit match bonus on our licensed trading platform. Deposit $1,000 and get $1,000 free trading credit! 💸",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Company
"Dear Client, your account has been credited with 1.2 BTC in demo profits. To convert demo account to real withdrawal balance, deposit $250 verification fee.",Investment Scam,1,No,Yes,No,No,No,Yes,Email,Company
"Get 50% profit share in 7 days! We trade gold futures on your behalf. Send your full name, identity card photo, and initial investment of $200.",Investment Scam,1,No,Yes,Yes,No,No,Yes,SMS,Individual
FLASH OFFER: Buy physical silver bullion at 30% below market spot price! Insured delivery guaranteed. Order now at http://silver-bullion-discount.net,Investment Scam,1,Yes,Yes,No,Yes,No,Yes,Email,Company
"Hi bro, join our private copy trading pool! Our master account has 1200% profit in 2025. Deposit $100 and mirror trades automatically.",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
Urgent security check: Your investment portfolio is temporarily frozen due to suspicious login. Re-enter your trading password & OTP to restore access: http://trader-portal-sec.com,Investment Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Company
"Earn up to $10,000 monthly by investing in foreign currency exchange pools! No trading experience needed. Call our investment desk at 1-800-555-0166 now.",Investment Scam,1,No,Yes,No,No,No,Yes,SMS,Company
"Dear Investor, secure your spot in our guaranteed lithium mining fund paying 12% quarterly dividends. Minimum entry $2,000. Download prospectus now.",Investment Scam,1,No,Yes,No,No,No,Yes,Email,Company
Warning: Federal tax rules require immediate capital gains declaration for your crypto profits. Upload your private key or seed phrase to clear tax liability: http://crypto-tax-compliance.org,Investment Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Government
Hi! I am calling from Prime Global Capital. We offer fixed 30% annual yield on corporate real estate bonds. Reply YES to schedule call with investment manager.,Investment Scam,1,No,Yes,No,No,No,Yes,SMS,Company
Special Crypto Presale: $NEXUS token backing next-gen spatial AI. Stage 1 price $0.01 (launch price $0.50). Buy now at http://nexus-ai-presale.io before stage closes! 🚀,Investment Scam,1,Yes,Yes,No,Yes,No,Yes,Email,Unknown
"Hello, earn ₹1,500 daily by reviewing investment property listings online! Part-time work from home. Send ₹500 registration charge on GPay to register.",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
Urgent Notice: Your Forex deposit of $500 was matched with a $500 promotional bonus. Complete 10 trades today or bonus will be forfeited! http://fx-bonus-claim.com,Investment Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Company
"Dear User, unlock institutional dark pool trading access with guaranteed zero slippage. Submit your bank account details and ID card to activate account.",Investment Scam,1,No,No,Yes,No,No,Yes,Email,Company
Hey! Join our Telegram premium channel for guaranteed 100x gem call tokens every week. Channel membership fee $100 lifetime. DM me to pay via crypto! 👍,Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
CRITICAL ALERT: Stock market crash predicted tomorrow! Move your 401k/IRA funds into our recession-proof Gold Vault Fund immediately: http://gold-vault-recession.com,Investment Scam,1,Yes,Yes,No,Yes,Yes,Yes,Email,Company
"Hi dear, invest in automated Amazon e-commerce storefronts! Earn $3,000 passive income per month hands-free. Minimum investment $1,500. Message me for details! 📦",Investment Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
