message,category,label,urgency,financial_request,personal_info_request,suspicious_link,threat_language,reward_promise,source,sender_type
Your ICICI Bank verification code is 104843. Do not share this code with anyone for security reasons.,safe,0,Yes,No,Yes,No,No,No,SMS,Bank
Use OTP 802416 to complete your login attempt at Bank of America. Valid for 5 minutes.,safe,0,No,No,Yes,No,No,No,Email,Bank
Security Alert: Your one-time passcode for Citi account access is 785747. Never give this code to callers.,safe,0,Yes,No,Yes,No,No,No,SMS,Bank
Hi! Your 6-digit verification code for Slack sign-in is 828555.,safe,0,No,No,Yes,No,No,No,SMS,Company
Use 944644 as your security pin to authorize transaction on Uber. Expires in 10 mins.,safe,0,Yes,No,Yes,No,No,No,Email,Company
"Your single-use password for ICICI Bank portal is 482678. If you did not request this, please change your password.",safe,0,No,No,Yes,No,No,No,SMS,Bank
Your GitHub verification code is 562524. Do not share this code with anyone for security reasons.,safe,0,Yes,No,Yes,No,No,No,Email,Company
Use OTP 903940 to complete your login attempt at GitHub. Valid for 5 minutes.,safe,0,No,No,Yes,No,No,No,SMS,Company
Security Alert: Your one-time passcode for Bank of America account access is 139840. Never give this code to callers.,safe,0,Yes,No,Yes,No,No,No,Email,Bank
Hi! Your 6-digit verification code for Slack sign-in is 226049.,safe,0,No,No,Yes,No,No,No,Email,Company
Use 890705 as your security pin to authorize transaction on Google. Expires in 10 mins.,safe,0,Yes,No,Yes,No,No,No,SMS,Company
"Your single-use password for SBI portal is 351032. If you did not request this, please change your password.",safe,0,No,No,Yes,No,No,No,Email,Bank
Your Apple verification code is 534896. Do not share this code with anyone for security reasons.,safe,0,Yes,No,Yes,No,No,No,Email,Company
Use OTP 537228 to complete your login attempt at Wells Fargo. Valid for 5 minutes.,safe,0,No,No,Yes,No,No,No,SMS,Bank
Security Alert: Your one-time passcode for GitHub account access is 986567. Never give this code to callers.,safe,0,Yes,No,Yes,No,No,No,SMS,Company
Hi! Your 6-digit verification code for Google sign-in is 507030.,safe,0,No,No,Yes,No,No,No,SMS,Company
Use 577010 as your security pin to authorize transaction on Wells Fargo. Expires in 10 mins.,safe,0,Yes,No,Yes,No,No,No,SMS,Bank
"Your single-use password for Microsoft portal is 720220. If you did not request this, please change your password.",safe,0,No,No,Yes,No,No,No,Email,Company
Your ICICI Bank verification code is 308162. Do not share this code with anyone for security reasons.,safe,0,Yes,No,Yes,No,No,No,SMS,Bank
