message,category,label,urgency,financial_request,personal_info_request,suspicious_link,threat_language,reward_promise,source,sender_type
URGENT: Your account ending in 4092 has been temporarily locked due to suspicious login attempts. Verify now at http://secure-bank-login-portal.com to restore full access.,Financial & Phishing Scams,1,Yes,No,Yes,Yes,Yes,No,SMS,Bank
"Dear customer, your electricity connection will be disconnected tonight at 9:30 PM due to unpaid bills. Contact power office executive at 9876543210 immediately.",Financial & Phishing Scams,1,Yes,Yes,No,No,Yes,No,SMS,Company
Congratulations! You have been selected to win a $500 Amazon Gift Card. Claim your reward immediately at http://bit.ly/claim-reward-500 before it expires!,Financial & Phishing Scams,1,Yes,No,No,Yes,No,Yes,SMS,Unknown
Your package delivery #88219 has been paused due to an incomplete delivery address. Please update your details here: http://track-parcel-update.com,Financial & Phishing Scams,1,No,No,Yes,Yes,No,No,SMS,Company
"Dear user, your Netflix subscription payment failed. To avoid cancellation of services, update your billing info within 24 hours at http://netflix-billing-update.com",Financial & Phishing Scams,1,Yes,Yes,Yes,Yes,Yes,No,Email,Company
"Hi mom, I lost my phone and I'm texting from a friend's device. Can you please transfer $250 to this account for my taxi fare? I will pay you back tonight.",Financial & Phishing Scams,1,Yes,Yes,No,No,No,No,WhatsApp,Individual
Alert from Tax Dept: You are eligible for an immediate tax refund of $480. Submit your banking details at http://gov-tax-refund-portal.org to process payment.,Financial & Phishing Scams,1,No,Yes,Yes,Yes,No,Yes,Email,Government
"Your OTP for payment authorization of $1,299.00 at TechStore is 884920. If this was not you, call fraud helpline immediately at 1-800-555-0199.",Financial & Phishing Scams,1,Yes,No,No,No,Yes,No,SMS,Bank
We noticed unusual activity on your PayPal account. Access to your funds will be restricted unless you confirm your identity at http://paypal-security-check.net,Financial & Phishing Scams,1,Yes,No,Yes,Yes,Yes,No,Email,Company
Earn $300-$800 daily by working 1 hour from home reviewing products online. No experience needed! Message us on WhatsApp now to start immediately.,Financial & Phishing Scams,1,No,No,No,No,No,Yes,WhatsApp,Unknown
"Dear Customer, your KYC documents have expired. Your SIM card will be deactivated in 24 hours. Submit your details now at http://telecom-kyc-update.com",Financial & Phishing Scams,1,Yes,No,Yes,Yes,Yes,No,SMS,Company
Final warning: Court notice issued against you regarding unpaid taxes. Call federal officer immediately at 555-0143 to prevent arrest warrant.,Financial & Phishing Scams,1,Yes,Yes,No,No,Yes,No,SMS,Government
"Hey friend! Look at this photo of you from last weekend, is this really you? http://social-media-pics-viral.com/view",Financial & Phishing Scams,1,No,No,No,Yes,No,No,WhatsApp,Unknown
"Your recent order #UK-9921 for iPhone 15 Pro Max ($1,199.00) was successfully placed. If you did not make this purchase, click http://order-cancel-verify.com",Financial & Phishing Scams,1,Yes,Yes,No,Yes,No,No,Email,Company
"Dear Job Seeker, your resume has been shortlisted for HR Manager role at Global Tech. Salary $8,500/month. Pay $150 processing fee to reserve interview slot.",Financial & Phishing Scams,1,No,Yes,No,No,No,Yes,Email,Company
Plz verify your account info immediately or ur service will be terminated. Click http://verify-info-now.cc/login,Financial & Phishing Scams,1,Yes,No,Yes,Yes,Yes,No,SMS,Unknown
"Congratulations! Your mobile number won $1,000,000 in the International Lottery. To claim, send your full name, home address, and bank account details.",Financial & Phishing Scams,1,No,Yes,Yes,No,No,Yes,Email,Unknown
"Alert: Someone tried to login to your Apple ID from Moscow, Russia. If this wasn't you, reset your password now at http://appleid-security-auth.com",Financial & Phishing Scams,1,Yes,No,Yes,Yes,No,No,Email,Company
"Hello, I am Mr. David from Global Finance. We approved your pre-qualified loan of $50,000 at 2% interest rate. Reply YES to proceed with registration.",Financial & Phishing Scams,1,No,Yes,Yes,No,No,Yes,WhatsApp,Unknown
Notice: Your auto insurance policy is expiring today. Renew now with 50% discount at http://cheap-insurance-renewal.com before midnight!,Financial & Phishing Scams,1,Yes,Yes,No,Yes,No,Yes,SMS,Company
Your account was charged $499.99 for annual Antivirus renewal. Call support at 1-888-555-0188 to cancel and request instant refund.,Financial & Phishing Scams,1,No,Yes,No,No,No,No,Email,Company
Urgent update from Customs: Your parcel is held at the warehouse due to unpaid customs fee of $4.50. Pay fee at http://customs-duty-clearance.com,Financial & Phishing Scams,1,Yes,Yes,No,Yes,No,No,SMS,Government
"Hi dear, I am in desperate need of help. I am stuck at the airport and my card is blocked. Can you send $100 to my account? I will refund you tomorrow.",Financial & Phishing Scams,1,Yes,Yes,No,No,No,No,WhatsApp,Individual
Your crypto wallet has been selected for 0.5 BTC giveaway! Connect your wallet now at http://crypto-airdrop-bonus.org to receive tokens.,Financial & Phishing Scams,1,No,No,Yes,Yes,No,Yes,WhatsApp,Unknown
ATTENTION: Suspicious withdrawal request of $850 detected from your credit card. Reply STOP to cancel or click http://bank-card-shield.com,Financial & Phishing Scams,1,Yes,Yes,No,Yes,No,No,SMS,Bank
We are upgrading our security servers. All customers must re-verify their debit card CVV and PIN at http://bank-security-upgrade.com within 12 hrs.,Financial & Phishing Scams,1,Yes,No,Yes,Yes,Yes,No,Email,Bank
Your rewards points ($180 value) are set to expire tonight. Redeem them for cash transfer now at http://rewards-redemption-center.com,Financial & Phishing Scams,1,Yes,Yes,No,Yes,No,Yes,SMS,Bank
"Dear Customer, your internet bill is overdue. Pay $35 before 6 PM today to avoid service suspension. Pay here: http://quick-bill-pay-portal.com",Financial & Phishing Scams,1,Yes,Yes,No,Yes,Yes,No,SMS,Company
Hello! You have 1 new voice message. Click http://voicemail-access-online.com/play to listen to the audio file.,Financial & Phishing Scams,1,No,No,No,Yes,No,No,SMS,Unknown
Important Notice: Your social security record shows fraudulent activity. Contact Federal Bureau immediately at 800-555-0112 to verify identity.,Financial & Phishing Scams,1,Yes,No,Yes,No,Yes,No,SMS,Government
"Hey, this is Sarah from HR. We are reviewing your job application. Please confirm your date of birth and SSN by replying to this email so we can finalize.",Financial & Phishing Scams,1,No,No,Yes,No,No,No,Email,Company
"Special promotion: Invest $200 in our automated crypto trading bot and guarantee $2,000 return in 48 hours! Visit http://guaranteed-crypto-profit.com",Financial & Phishing Scams,1,No,Yes,No,Yes,No,Yes,WhatsApp,Unknown
"Your refund request for $650.00 is being processed. If you did not request this refund, click http://merchant-refund-check.com to cancel transaction.",Financial & Phishing Scams,1,No,Yes,No,Yes,No,No,Email,Company
Warning: Your cloud storage is full and your photos will be permanently deleted in 6 hours. Upgrade now for $1 at http://cloud-storage-extend.com,Financial & Phishing Scams,1,Yes,Yes,No,Yes,Yes,No,SMS,Company
Congratulations! You won a brand new iPad Pro. Click http://claim-free-ipad-today.com and enter your credit card for $1 shipping fee.,Financial & Phishing Scams,1,No,Yes,Yes,Yes,No,Yes,SMS,Unknown
Your streaming service account has been suspended due to payment issues. Update your card details at http://stream-account-reactivate.com to resume watching.,Financial & Phishing Scams,1,Yes,Yes,Yes,Yes,Yes,No,Email,Company
Security Alert: Multiple failed attempts to enter your online banking password. Please update your security questions at http://secure-pass-reset.com,Financial & Phishing Scams,1,Yes,No,Yes,Yes,Yes,No,Email,Bank
"Dear user, you have been selected for a paid survey. Complete it in 5 mins and receive $50 instantly in your PayPal account. Start: http://survey-payouts.net",Financial & Phishing Scams,1,No,No,No,Yes,No,Yes,Email,Unknown
"Urgent: Your health insurance policy requires immediate verification. Reply with your full name, DOB, and policy number to prevent coverage cancellation.",Financial & Phishing Scams,1,Yes,No,Yes,No,Yes,No,Email,Company
Your online order cannot be processed. Please confirm your card CVV and billing address at http://store-checkout-verify.com to complete shipment.,Financial & Phishing Scams,1,Yes,Yes,Yes,Yes,No,No,Email,Company
Hi! I mistakenly sent my verification code to your phone number. Can you please text me back the 6-digit code you just received? Thanks!,Financial & Phishing Scams,1,Yes,No,Yes,No,No,No,SMS,Individual
Your account balance is negative ($42.10). Pay now to avoid $35 late fee. Click http://pay-overdue-balance.com,Financial & Phishing Scams,1,Yes,Yes,No,Yes,Yes,No,SMS,Bank
"Dear Member, your loyalty club points will expire at midnight. Convert your 50,000 points into cash now: http://loyalty-cash-out.com",Financial & Phishing Scams,1,Yes,Yes,No,Yes,No,Yes,Email,Company
URGENT legal summons: You have failed to appear in court. Pay outstanding fine of $250 immediately at http://court-fines-online.gov.pay-portal.cc,Financial & Phishing Scams,1,Yes,Yes,No,Yes,Yes,No,SMS,Government
"Hi, I saw your listing on Craigslist. Is this item still available? I want to buy it immediately. I will pay extra $50 for shipping via http://secure-pay-hold.com",Financial & Phishing Scams,1,No,Yes,No,Yes,No,Yes,WhatsApp,Individual
Your bank card has been blocked due to safety reasons. Please visit http://card-unblock-portal.com and enter your card details to unblock.,Financial & Phishing Scams,1,Yes,No,Yes,Yes,Yes,No,SMS,Bank
Exclusive offer! Get 90% discount on luxury watches today only. Shop now at http://luxury-watches-outlet-sale.com before stock runs out!,Financial & Phishing Scams,1,Yes,Yes,No,Yes,No,Yes,Email,Company
Alert: Unauthorized login detected on your crypto wallet from IP 192.168.1.1. Lock your wallet now at http://crypto-wallet-lock.com,Financial & Phishing Scams,1,Yes,No,Yes,Yes,Yes,No,Email,Unknown
"Dear Customer, your home wifi router firmware is outdated and vulnerable to attacks. Update immediately at http://router-firmware-fix.com",Financial & Phishing Scams,1,Yes,No,No,Yes,Yes,No,Email,Company
