message,category,label,urgency,financial_request,personal_info_request,suspicious_link,threat_language,reward_promise,source,sender_type
"Pre-approved pre-approved! Get instant personal loan up to $50,000 with 0% interest for 12 months. Apply now at http://easy-loan-approval.com",Loan Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"URGENT: Your pre-sanctioned loan offer of Rs. 10,00,000 from HDFC Loan Desk will expire in 2 hours. Send your bank account number and OTP to confirm.",Loan Scam,1,Yes,No,Yes,No,No,Yes,SMS,Bank
"Dear customer, bad credit score? No problem! Get guaranteed instant loan up to $20,000 without documentation. Pay $150 processing fee upfront via Apple Gift Card.",Loan Scam,1,No,Yes,No,No,No,Yes,Email,Company
Hey friend! I can approve your business loan of $100k today itself. Just share your credit card CVV and bank login details for quick verification.,Loan Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Individual
"Govt Student Loan Relief scheme approved your $15,000 debt forgiveness. Click http://govt-student-relief-claim.org to process immediately.",Loan Scam,1,No,No,No,Yes,No,Yes,Email,Government
"Your loan application for Rs 5,00,000 is approved by Bajaj Finance. Deposit Rs 3,500 file charges to UPI ID bajaj-finance@paytm to release loan.",Loan Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Company
"ACT NOW! Instant cash loan of $5,000 ready for instant payout. No credit check required! Apply before midnight: http://fastcash-instant.net",Loan Scam,1,Yes,No,No,Yes,No,Yes,SMS,Unknown
"Congratulations! You qualify for low-rate home loan up to $250,000. Text YES with your Social Security Number to get instant approval.",Loan Scam,1,No,No,Yes,No,No,Yes,SMS,Bank
WARNING: Your pending loan disbursement will be CANCELLED if $200 insurance fee is not paid in 30 minutes! Transfer via Zelle now.,Loan Scam,1,Yes,Yes,No,No,Yes,No,Email,Company
"Need emergency funds? Get up to $10,000 deposited in 15 mins! Low monthly payments, 0 interest rate. Register: http://quick-fundz.site",Loan Scam,1,Yes,No,No,Yes,No,Yes,SMS,Unknown
"Sir/Madam, PM Mudra Yojana Loan approved Rs 20 Lakhs for your business. Send your bank passbook photo and online banking password to proceed.",Loan Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Government
"You have 1 pending loan offer of $35,000 from Chase Capital. Claim before offer expires tonight: http://chase-loan-desk.info",Loan Scam,1,Yes,No,No,Yes,No,Yes,SMS,Bank
"Hello, this is Loan Officer Mark. We noticed you applied for $15,000 loan. Send $99 advance tax charge to receive funds today.",Loan Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
"Instant Payday Loan Approved! $3,000 waiting in your account. Complete verification at http://payday-direct-express.com",Loan Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"FINAL NOTICE: Your approved $50,000 loan will be forfeited if you do not complete verification in 1 hour! Click http://loan-verify-now.top",Loan Scam,1,Yes,No,No,Yes,Yes,Yes,Email,Company
"SBI Personal Loan pre-approval notice: Get Rs 8,00,000 instant loan with zero collateral. Send mobile OTP to confirm identity.",Loan Scam,1,No,No,Yes,No,No,Yes,SMS,Bank
"Get low interest loan from $5,000 to $500,000 regardless of your credit score! Reply with your email for details.",Loan Scam,1,No,No,No,No,No,Yes,SMS,Unknown
Your Crypto Loan of 2 BTC is ready for release! Send $300 gas fee to wallet address 0x71C... to finalize transaction.,Loan Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Unknown
"Urgent! Debt Consolidation Program approved $45,000 to pay off your credit cards. Click http://clear-my-debt-now.org to start.",Loan Scam,1,Yes,No,No,Yes,No,Yes,Email,Company
"Congratulations! Dhani Finance approved loan Rs 10 Lakh. Please wire Rs 5,000 for NOC certificate fee to manager's personal account.",Loan Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Company
Special Auto Loan Offer: Get 100% financing for your new car at 1% APR. Fill application form at http://drive-auto-loans.xyz,Loan Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"Dear customer, your request for $8,000 fast loan is accepted. Please provide debit card number, expiry date and CVV for direct payout.",Loan Scam,1,No,No,Yes,No,No,Yes,Email,Unknown
"URGENT: Legal action will be taken if you don't clear processing fee of $250 for your approved $60,000 loan within 2 hours!",Loan Scam,1,Yes,Yes,No,No,Yes,No,SMS,Company
"Get $12,000 personal loan in 10 minutes! No income proof, no guarantor needed. Check eligibility at http://instant-cash-now.tech",Loan Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"Hello, I am private lender Mr. Alex. I give personal loans up to $500,000 at 2% annual rate. Contact me on WhatsApp +1-555-0188 for quick transfer.",Loan Scam,1,No,No,No,No,No,Yes,WhatsApp,Individual
"ICICI Bank Loan Alert: You have pre-approved loan of Rs 15,00,000. Send bank login password to agent for instant credit.",Loan Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Bank
"Hurry! Limited period government loan scheme for small businesses up to $100,000. Claim your grant before deadline: http://biz-loan-scheme.org",Loan Scam,1,Yes,No,No,Yes,No,Yes,Email,Government
"Your loan request of $20,000 is almost complete. Send $120 registration charge via Cash App tag $LoanDesk2026 to release money.",Loan Scam,1,No,Yes,No,No,No,Yes,SMS,Company
"Need money urgently? We approve 99.9% of loan applications! Get up to $30,000 today. Click http://easy-money-payout.club",Loan Scam,1,Yes,No,No,Yes,No,Yes,SMS,Unknown
"Dear applicant, your loan amount $75,000 is ready. To disburse funds, reply with your full SSN, date of birth, and home address.",Loan Scam,1,No,No,Yes,No,No,Yes,Email,Company
"WARNING: Last reminder to clear $180 legal documentation fee for your $40,000 loan approval or your file will be sent to collection agency!",Loan Scam,1,Yes,Yes,No,No,Yes,No,Email,Unknown
Zero interest mortgage loan offer! Refinance your home for 0.5% interest rate. Lock in rate today at http://refinance-home-cheap.info,Loan Scam,1,Yes,No,No,Yes,No,Yes,Email,Company
"Your loan amount Rs. 3,00,000 is sanctioned under Mahila Samriddhi Yojana. Send OTP received on your mobile to claim instantly.",Loan Scam,1,No,No,Yes,No,No,Yes,SMS,Government
"Get $5,000 payday advance with no credit check! Instant transfer to your bank account. Apply here: http://fast-payday-cash.site",Loan Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"Hi, I am offering low interest personal loans from $2,000 to $50,000 for bad credit holders. Pay $50 initial processing fee to start.",Loan Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
"Urgent: Wells Fargo pre-approved credit line extension up to $25,000. Verify online banking details at http://wellsfargo-credit-desk.com",Loan Scam,1,Yes,No,No,Yes,No,Yes,Email,Bank
"Congratulations! Your instant loan of Rs 2,00,000 is ready. Pay refundable security deposit of Rs 1,999 to bank account ending in 4432.",Loan Scam,1,No,Yes,No,No,No,Yes,SMS,Company
"Dear customer, your $35,000 loan check is written. Send us your credit card number, CVV and expiry date to release shipment today.",Loan Scam,1,Yes,No,Yes,No,No,Yes,Email,Company
"Need quick cash for holiday expenses? Get instant $10,000 loan with flexible repayments. Claim offer now: http://holiday-cash-loan.top",Loan Scam,1,No,No,No,Yes,No,Yes,SMS,Unknown
"FINAL CALL: Your pre-approved $70,000 loan offer will expire in 30 minutes! Transfer $150 tax fee via Steam gift card now.",Loan Scam,1,Yes,Yes,No,No,Yes,Yes,Email,Unknown
"Approved! Rs 50,000 instant loan added to your wallet. Share OTP sent on your phone number to withdraw cash to bank.",Loan Scam,1,No,No,Yes,No,No,Yes,SMS,Company
"Get low monthly rate personal loan up to $80,000 in 24 hours. No background check! Fill application: http://easy-loan-desk.xyz",Loan Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"Hi, I am certified lender David. I am offering loans from $5k to $250k. To get money today send $200 processing fee via Venmo.",Loan Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
"Bank Alert: Emergency liquidity loan of $15,000 ready for instant disbursement. Click http://bank-emergency-payout.info",Loan Scam,1,Yes,No,No,Yes,No,Yes,SMS,Bank
"You are eligible for Govt Agriculture Loan Scheme up to Rs 25,00,000. Send Aadhaar card and bank account details on WhatsApp to process.",Loan Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Government
"Claim your pre-sanctioned $18,000 personal loan before deadline at 5 PM! Click link to claim: http://sanctioned-loans-desk.club",Loan Scam,1,Yes,No,No,Yes,No,Yes,Email,Company
"Dear Applicant, your $60,000 loan requires $300 upfront insurance payment before transfer. Pay via Crypto BTC wallet address provided.",Loan Scam,1,No,Yes,No,No,No,Yes,Email,Unknown
"Unsecured personal loan up to $40,000 available at 1% interest rate. Direct credit to bank in 1 hour. Apply now: http://unsecured-express-loans.net",Loan Scam,1,No,No,No,Yes,No,Yes,SMS,Company
ALERT: Your loan pre-approval status will be CANCELED unless you verify your identity with your bank password within 15 minutes!,Loan Scam,1,Yes,No,Yes,No,Yes,No,SMS,Bank
Congrats! Axis Bank approved Rs 12 Lakhs home loan at zero processing fee. Send your PAN card and 6-digit OTP to claim instantly.,Loan Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Bank
