message,category,label,urgency,financial_request,personal_info_request,suspicious_link,threat_language,reward_promise,source,sender_type
Hi! We reviewed your profile on LinkedIn and selected you for a remote Data Entry position. Daily payout $200-$500 working 2 hours/day. Contact HR on WhatsApp: +1-800-555-0192 💼,Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Company
URGENT JOB OFFER: Amazon HR is hiring online product reviewers! Earn $80/hour from home. Only 5 slots remaining today. Apply now: http://amazon-flex-hiring-desk.net,Job Scam,1,Yes,No,No,Yes,No,Yes,SMS,Company
"Congratulations! You have been shortlisted for the Data Analyst role at Google India. To schedule your final interview, please submit your government ID proof details at http://google-careers-portal-verify.in",Job Scam,1,No,No,Yes,Yes,No,Yes,Email,Company
"Hey, part-time job opportunity! Just like YouTube videos and earn ₹2,000 to ₹5,000 daily. Payouts sent via UPI every evening. WhatsApp us to get started! 📱✨",Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Unknown
"Dear Candidate, your background verification for the Senior Manager position is pending. Pay ₹1,499 registration fee immediately to process your offer letter before 5 PM today.",Job Scam,1,Yes,Yes,No,No,Yes,No,Email,Company
Hello! Work from home typist needed. Earn $30 per page. No experience required. Pay refundable equipment security deposit of $150 to receive laptop kit.,Job Scam,1,No,Yes,No,No,No,Yes,SMS,Individual
"Urgent hiring for Tata Motors assembly line! Salary ₹35,000/month + food and lodging. Submit your identity documents and bank account details to finalize contract: http://tata-careers-direct.org",Job Scam,1,Yes,No,Yes,Yes,No,Yes,SMS,Company
"Hi dear, I am Sarah from Deloitte Recruitment team. We saw your resume on Indeed. We offer flexible online assistant jobs paying $300 daily. Tap link to start training: http://deloitte-remote-jobs.com",Job Scam,1,No,No,No,Yes,No,Yes,Email,Company
"URGENT NOTICE: Your application for Air India Cabin Crew will be cancelled due to unpaid medical screening fee of ₹2,200. Pay within 2 hours or lose your seat.",Job Scam,1,Yes,Yes,No,No,Yes,No,Email,Company
"Earn up to $1,000/week rating hotel reviews on Google Maps! Simple task, immediate pay out. DM me on Telegram to join our work group today 🏨💸",Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Individual
"Dear applicant, you are selected for UNICEF Work From Home project. To receive your laptop and stipend check of $2,000, reply with your full name, home address, and SSN/identity number.",Job Scam,1,No,No,Yes,No,No,Yes,Email,Government
Hiring alert! Marriott Hotels needs online reservation agents. Earn $45/hr. Training provided. Apply before registration closes at midnight: http://marriott-hiring-online.net,Job Scam,1,Yes,No,No,Yes,No,Yes,SMS,Company
"Hello bro, work 1 hour a day and make $500 weekly by copy pasting ads online. No investment needed! Message me on WhatsApp right now to grab position.",Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Individual
"OFFER LETTER RELEASE: Infosys HR team has selected your profile for Software Engineer role. To activate your employee portal, pay ₹3,500 background check fee now.",Job Scam,1,Yes,Yes,No,No,No,Yes,Email,Company
We are hiring remote social media managers for TikTok campaigns! Payout $150/day via PayPal or crypto. Fill out your registration profile here: http://tiktok-creator-hire.io,Job Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"Dear Jobseeker, your interview with Accenture is scheduled. Kindly verify your identity by providing your 16-digit debit card number and OTP for processing application fees.",Job Scam,1,No,Yes,Yes,No,No,No,Email,Company
Urgent recruitment for Canadian Work Visa program! High salary packages in construction & hospitality. Guaranteed visa in 15 days. Apply at http://canada-job-visa-portal.com,Job Scam,1,Yes,No,No,Yes,No,Yes,SMS,Company
"Hi, this is HR Manager Lisa from Shopee. We have part time vacancies for online product order processing. Earn 5% commission per order completed. Direct payout to bank! 🛍️",Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Company
Warning: Your job application status for Railway Recruitment Board will expire in 1 hour. Confirm your enrollment and submit registration fees at http://rrb-govt-job-verify.in,Job Scam,1,Yes,Yes,No,Yes,Yes,No,SMS,Government
Hello! Earn $200 per audio file by transcribing short recordings from home. Equipment provided free after mandatory $50 portal enrollment fee.,Job Scam,1,No,Yes,No,No,No,Yes,Email,Company
"Hi sir, Reliance Jio hiring field executives in your area! Salary ₹28,000 + bike allowance. Send your resume and identity verification copy on WhatsApp to confirm interview slot.",Job Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Company
"Attention candidate, Microsoft HR office confirmed your selection. A $3,000 check for office equipment setup has been sent to your mail. Deposit check and transfer back $500 balance immediately.",Job Scam,1,Yes,Yes,No,No,No,Yes,Email,Company
"Earn extra income rating movies on Netflix! Earn ₹3,000 per day. No special skills needed. Click http://netflix-rater-jobs.com to complete registration form.",Job Scam,1,No,No,No,Yes,No,Yes,SMS,Company
"HR Urgent Alert: You missed your scheduled interview call for IBM. To reschedule and keep your candidacy active, reply YES immediately.",Job Scam,1,Yes,No,No,No,Yes,No,SMS,Company
"Dear Applicant, congratulations! You have been selected for PepsiCo remote logistics coordinator. To complete hiring paperwork, submit your bank account and routing number.",Job Scam,1,No,No,Yes,No,No,Yes,Email,Company
Hey! Looking for easy work? Earn $100/day testing mobile games on your phone. Daily cashout via CashApp. Join our beta testing team today! 🎮💵,Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Individual
URGENT: Postal department hiring sorting staff. 50 openings left! High pay + pension benefits. Pay $25 application charge at http://postal-jobs-direct.org before deadline.,Job Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Government
"Hi there, I am an independent recruiter working with Samsung. We are hiring remote customer care agents. $35/hr. Send your email & mobile number to receive job kit.",Job Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Individual
Notice: Your appointment for High Court Data Entry operator role is flagged due to missing identity document submission. Complete KYC at http://court-jobs-kyc.in or lose position.,Job Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Government
"Earn money doing simple captcha typing! Earn ₹500 for every 100 captchas. Minimum payout ₹2,000 daily. Pay ₹300 activation fee to start work today.",Job Scam,1,No,Yes,No,No,No,Yes,SMS,Company
"Hello! We are hiring virtual assistants for Apple Inc. $40/hour, flexible schedule, laptop provided. Visit http://apple-careers-remote-desk.com to submit your resume.",Job Scam,1,No,No,No,Yes,No,Yes,Email,Company
"Hey, part time job opportunity for students! Earn ₹1,500 daily by liking Instagram posts. Work 30 mins a day. WhatsApp us 'JOB' to start right now 📈",Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Unknown
"Urgent hiring for Dubai Crude Oil Company! Free food, flight ticket, and accommodation provided. Salary $4,500/month. Pay visa processing fee of $200 to secure job offer.",Job Scam,1,Yes,Yes,No,No,No,Yes,Email,Company
"Dear Jobseeker, Flipkart fulfillment center hiring workers in your city. Daily wage ₹1,200. Call HR Officer Rahul at 9876543210 to book your joining slot today.",Job Scam,1,No,No,No,No,No,Yes,SMS,Company
"Selected for Remote Proofreader job at Penguin Books! Daily income $180. To begin orientation, download company workspace app at http://penguin-workspace-login.com",Job Scam,1,No,No,No,Yes,No,Yes,Email,Company
Hi! Earn passive commission by evaluating online merchant listings for eBay. Daily pay guaranteed. Reply YES on WhatsApp for instant onboarding.,Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Company
URGENT: Government health department emergency hiring for clerks. High salary. Pay ₹500 stamp duty fee at http://health-dept-recruitment.in within 24 hours.,Job Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Government
"Hello, I am HR manager from Zara. We are offering part time online fashion assistant roles paying $250 daily. Contact our recruitment desk on Telegram now! 👗✨",Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Company
Final Reminder: Your selection for DHL Logistics manager post will be voided if background processing charge of $75 is not cleared by 6:00 PM today.,Job Scam,1,Yes,Yes,No,No,Yes,No,Email,Company
Make $300 a day translating simple documents from home! No experience required. Receive payment directly to your bank account every Friday. Reply for details.,Job Scam,1,No,No,No,No,No,Yes,Email,Individual
"Hi sir, Paytm hiring telecallers for work from home. Earn ₹25,000/month. Send your photo, identity verification details, and bank account number to register.",Job Scam,1,No,No,Yes,No,No,Yes,WhatsApp,Company
"Immediate joining for Indigo Airlines Ground Staff! Salary ₹38,000. Gate pass fee ₹1,800 mandatory before joining. Pay now at http://indigo-groundstaff-pass.net",Job Scam,1,Yes,Yes,No,Yes,No,Yes,SMS,Company
"Dear applicant, your interview for Shell Petroleum was successful. To process your salary account, reply with your 16-digit debit card number and CVV code.",Job Scam,1,No,Yes,Yes,No,No,Yes,Email,Company
Want to work as an Amazon mystery shopper? Get $200 per store evaluation plus free items! Register your reviewer profile today at http://amazon-shopper-eval.com,Job Scam,1,No,No,No,Yes,No,Yes,SMS,Company
Hey mate! We pay $20/hour for typing simple audio notes online. Flexible hours. Pay $10 account setup charge on GPay to receive first assignment bundle!,Job Scam,1,No,Yes,No,No,No,Yes,WhatsApp,Individual
CRITICAL: HR department of HSBC has flagged your job portal profile for incomplete document submission. Submit identity details now or face application rejection: http://hsbc-careers-portal.com,Job Scam,1,Yes,No,Yes,Yes,Yes,No,Email,Bank
"Hello, earn money by packaging cosmetic products at home! ₹15,000 weekly salary. Materials delivered to your home free after ₹999 refundable registration fee.",Job Scam,1,No,Yes,No,No,No,Yes,SMS,Company
"Hi dear, Earn $500 weekly by copy pasting simple ad texts on Facebook. Work 1 hour daily. Contact our Telegram supervisor to start earning today 💸🔥",Job Scam,1,No,No,No,No,No,Yes,WhatsApp,Unknown
URGENT: Selection list for Civil Services online assistant released! Check your name and confirm acceptance within 3 hours at http://civil-services-assistant.gov.in.claim-desk.org,Job Scam,1,Yes,No,No,Yes,Yes,Yes,Email,Government
"Dear candidate, your application for Tesla Remote Support Specialist was accepted! To dispatch your company laptop and monitor, pay $100 shipping fee to our logistics desk.",Job Scam,1,Yes,Yes,No,No,No,Yes,Email,Company
